category,success,failed,success_rate
ACCOUNTANT,118,0,100.0%
ADVOCATE,118,0,100.0%
AGRICULTURE,63,0,100.0%
APPAREL,97,0,100.0%
ARTS,103,0,100.0%
AUTOMOBILE,36,0,100.0%
AVIATION,117,0,100.0%
BANKING,115,0,100.0%
BPO,22,0,100.0%
BUSINESS-DEVELOPMENT,120,0,100.0%
CHEF,118,0,100.0%
CONSTRUCTION,112,0,100.0%
CONSULTANT,115,0,100.0%
DESIGNER,107,0,100.0%
DIGITAL-MEDIA,96,0,100.0%
ENGINEERING,118,0,100.0%
FINANCE,118,0,100.0%
FITNESS,117,0,100.0%
HEALTHCARE,115,0,100.0%
HR,110,0,100.0%
INFORMATION-TECHNOLOGY,120,0,100.0%
PUBLIC-RELATIONS,111,0,100.0%
SALES,116,0,100.0%
TEACHER,102,0,100.0%
